Index    name         key              s           l     floor.x         floor.y         floor.z         floor.theta     floor.phi       floor.psi       spin.x          spin.y          spin.z
     99  SXA21        Sbend               10.795   0.000   -0.0000000000    0.0000000000   10.7831689503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    100  SYA21        Sbend               10.795   0.000   -0.0000000000    0.0000000000   10.7831689503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    101  ACA212       Lcavity             12.124   1.330   -0.0000000000    0.0000000000   12.1127813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    102  PACA21       Marker              12.124   0.000   -0.0000000000    0.0000000000   12.1127813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    103  AKA21        Lcavity             12.159   0.035   -0.0000000000    0.0000000000   12.1477711503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    104  L264         Drift               12.216   0.057   -0.0000000000    0.0000000000   12.2042813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    105  L265         Drift               12.258   0.043   -0.0000000000    0.0000000000   12.2467813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    106  SPA21        Drift               12.258   0.000   -0.0000000000    0.0000000000   12.2467813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    107  L267         Drift               12.318   0.060   -0.0000000000    0.0000000000   12.3067813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    108  PQDA21       Marker              12.318   0.000   -0.0000000000    0.0000000000   12.3067813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    109  QDA21        Quadrupole          12.393   0.075   -0.0000000000    0.0000000000   12.3817813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    110  L269         Drift               12.480   0.087   -0.0000000000    0.0000000000   12.4687813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    111  QFA21        Quadrupole          12.601   0.121   -0.0000000000    0.0000000000   12.5897813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    112  L271         Drift               12.688   0.087   -0.0000000000    0.0000000000   12.6767813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    113  QDA21        Quadrupole          12.763   0.075   -0.0000000000    0.0000000000   12.7517813503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
    114  L273         Drift               12.866   0.103   -0.0000000000    0.0000000000   12.8547633503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
