  Index  name               key              s          l      floor.x     floor.y     floor.z     floor.theta floor.phi   floor.psi     spin.x          spin.y          spin.z
     95  ESRE460            Marker               0.460   0.000  7.1603E-12  1.3314E-12 -4.6000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0314497380    0.9990224608   -0.0310650398
     96  QC1RPE465          Sad_Mult             0.470   0.010  7.1600E-12  1.3314E-12 -4.7000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0320150467    0.9989853059   -0.0316764169
     97  ESRE470            Marker               0.470   0.000  7.1600E-12  1.3314E-12 -4.7000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0320150467    0.9989853059   -0.0316764169
     98  QC1RPE475          Sad_Mult             0.480   0.010  7.1597E-12  1.3314E-12 -4.8000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0325742257    0.9989489021   -0.0322491974
     99  ESRE480            Marker               0.480   0.000  7.1597E-12  1.3314E-12 -4.8000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0325742257    0.9989489021   -0.0322491974
    100  QC1RPE485          Sad_Mult             0.490   0.010  7.1595E-12  1.3314E-12 -4.9000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0331264964    0.9989135622   -0.0327769808
    101  ESRE490            Marker               0.490   0.000  7.1595E-12  1.3314E-12 -4.9000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0331264964    0.9989135622   -0.0327769808
    102  QC1RPE495          Sad_Mult             0.500   0.010  7.1592E-12  1.3314E-12 -5.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0336709505    0.9988796587   -0.0332519839
    103  ESRE500            Marker               0.500   0.000  7.1592E-12  1.3314E-12 -5.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0336709505    0.9988796587   -0.0332519839
    104  QC1RPE505          Sad_Mult             0.510   0.010  7.1589E-12  1.3314E-12 -5.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0342065239    0.9988476355   -0.0336647398
    105  ESRE510            Marker               0.510   0.000  7.1589E-12  1.3314E-12 -5.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0342065239    0.9988476355   -0.0336647398
    106  QC1RPE515          Sad_Mult             0.520   0.010  7.1587E-12  1.3313E-12 -5.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0347319658    0.9988180185   -0.0340037725
